name,description
Caverna: The Cave Farmers,"Seguindo as mesmas linhas de seu antecessor (Agricola), Caverna: The Cave Farmers é um jogo de colocação de trabalhadores no coração, com foco na agricultura. No jogo, você é o líder barbudo de uma pequena família de anões que vive em uma pequena caverna nas montanhas. Você começa o jogo com um fazendeiro e sua esposa, e cada membro da família de fazendeiros representa uma ação que o jogador pode realizar a cada turno. Juntos, vocês cultivam a floresta em frente à sua caverna e cavam mais fundo na montanha. Você fornece as cavernas como moradias para seus filhos, bem como espaços de trabalho para pequenas empresas. Cabe a você quanto minério você quer minerar. Você precisará dele para forjar armas que permitem que você participe de expedições para ganhar itens e ações de bônus. Ao cavar pela montanha, você pode encontrar fontes de água e encontrar minas de minério e rubi que o ajudam a aumentar sua riqueza. Bem na frente de sua caverna, você pode aumentar ainda mais sua riqueza com a agricultura: você pode derrubar a floresta para semear campos e cercar pastagens para manter seus animais. Você também pode expandir sua família enquanto administra sua fazenda em constante crescimento. No final, o jogador com o tabuleiro doméstico mais eficientemente desenvolvido vence. Você também pode jogar a variante solo deste jogo para se familiarizar com as 48 peças de mobiliário diferentes para sua caverna. Caverna: The Cave Farmers, que tem um tempo de jogo de aproximadamente 30 minutos por jogador, é uma reformulação completa do Agricola que substitui os baralhos de cartas do jogo anterior por um conjunto de edifícios, adicionando a capacidade de comprar armas e enviar seus agricultores missões para obter mais recursos. O designer Uwe Rosenberg diz que o jogo inclui partes de Agricola, mas também tem novas ideias, especialmente a parte da caverna do seu tabuleiro de jogo, onde você pode construir minas e procurar rubis. O jogo também inclui dois novos animais: cães e burros."
Mage Knight Board Game,"O jogo de tabuleiro Mage Knight coloca você no controle de um dos quatro poderosos Mage Knights enquanto você explora (e conquista) um canto do universo Mage Knight sob o controle do Império Atlante. Construa seu exército, encha seu baralho com feitiços e ações poderosos, explore cavernas e masmorras e, eventualmente, conquiste cidades poderosas controladas por essa grande facção! Em cenários competitivos, jogadores adversários podem ser aliados poderosos, mas apenas um poderá reivindicar a terra como sua. Em cenários cooperativos, os jogadores ganham ou perdem como um grupo. Regras individuais também estão incluídas. Combinando elementos de RPGs, construção de baralhos e jogos de tabuleiro tradicionais, o jogo de tabuleiro Mage Knight captura a rica história do universo Mage Knight em uma experiência de jogo independente."
Everdell,"Dentro do encantador vale de Everdell, sob os galhos de árvores altas, entre riachos sinuosos e vales cobertos de musgo, uma civilização de criaturas da floresta está prosperando e se expandindo. De Everfrost a Bellsong, muitos anos se passaram, mas chegou a hora de novos territórios serem estabelecidos e novas cidades estabelecidas. Você será o líder de um grupo de criaturas com a intenção de realizar essa tarefa. Há prédios para construir, personagens animados para conhecer, eventos para sediar você tem um ano agitado pela frente. O sol brilhará mais forte em sua cidade antes da lua de inverno nascer? Everdell é um jogo de construção dinâmica de quadros e colocação de trabalhadores. Por sua vez, um jogador pode realizar uma das três ações: a) Colocar um Trabalhador: Cada jogador tem uma coleção de peças de Trabalhador. Eles são colocados nos locais do tabuleiro, eventos e nas cartas de Destino. Os trabalhadores realizam várias ações para promover o desenvolvimento do quadro de um jogador: reunir recursos, comprar cartas e realizar outras ações especiais. b) Jogue uma Carta: Cada jogador está construindo e povoando uma cidade; um tableau de até 15 cartas de Construção e Bicho. Existem cinco tipos de cartões: Viajantes, Produção, Destino, Governança e Prosperidade. As cartas geram recursos (galhos, resina, seixos e bagas), concedem habilidades e, por fim, marcam pontos. As interações das cartas revelam inúmeras estratégias e uma variedade quase infinita de cidades em funcionamento. c) Prepare-se para a próxima temporada: Os trabalhadores são devolvidos ao estoque de jogadores e novos trabalhadores são adicionados. O jogo é jogado do inverno até o início do inverno seguinte, quando o jogador com a cidade com mais pontos vence."
Mansions of Madness: Second Edition,"Mansions of Madness: Second Edition é um jogo de tabuleiro de terror e mistério totalmente cooperativo e dirigido por aplicativos para um a cinco jogadores que ocorre no mesmo universo de Eldritch Horror e Elder Sign. Deixe o aplicativo imersivo guiá-lo pelas ruas veladas de Innsmouth e pelos corredores assombrados das mansões amaldiçoadas de Arkham enquanto você procura respostas e descanso. Oito investigadores corajosos estão prontos para enfrentar quatro cenários de medo e mistério, coletando armas, ferramentas e informações, resolvendo quebra-cabeças complexos e lutando contra monstros, insanidade e morte. Abra a porta e entre nestas Mansions of Madness: Second Edition de arrepiar os cabelos. Será preciso mais do que apenas sobrevivência para conquistar os males que aterrorizam esta cidade."
Le Havre,"Em Le Havre, o turno de um jogador consiste em duas partes: primeiro, distribuir os bens recém-fornecidos nos espaços de oferta; então tome uma atitude. Como uma ação, os jogadores podem escolher pegar todos os bens de um tipo de um espaço de oferta ou usar um dos edifícios disponíveis. As ações de construção permitem que os jogadores atualizem mercadorias, vendam-nas ou usem-nas para construir suas próprias construções e navios. Os edifícios são uma oportunidade de investimento e um fluxo de receita, pois os jogadores devem pagar uma taxa de entrada para usar os edifícios que não possuem. Os navios, por outro lado, são usados ​​principalmente para fornecer os alimentos necessários para alimentar os trabalhadores. A cada sete turnos, a rodada termina: o gado e os grãos dos jogadores podem se multiplicar por meio de uma Colheita, e os jogadores devem alimentar seus trabalhadores. Após um número fixo de rodadas, cada jogador pode realizar uma ação final e, em seguida, o jogo termina. Os jogadores adicionam o valor de seus edifícios e navios às suas reservas de dinheiro. O jogador que acumulou a maior fortuna é o vencedor."
A Feast for Odin,"A Feast for Odin é uma saga em forma de jogo de tabuleiro. Você está revivendo as conquistas culturais, expedições mercantis e pilhagens daquelas tribos que hoje conhecemos como vikings   um termo que foi usado de forma bastante diferente no final do primeiro milênio. Quando os nortistas saíam para um ataque, eles costumavam dizer que estavam indo para um viking. Seus ancestrais escandinavos, no entanto, eram muito mais do que apenas piratas. Eles foram exploradores e fundadores de estados. Diz-se que Leif Eriksson foi o primeiro europeu na América, muito antes de Colombo. No que hoje é conhecido como Normandia, os intrusos não eram chamados de vikings, mas normandos. Um deles é o famoso Guilherme, o Conquistador, que invadiu a Inglaterra em 1066. Ele conseguiu fazer o que o rei da Noruega não conseguiu fazer apenas alguns anos antes: conquistar o trono da Inglaterra. A razão pela qual as pessoas desses tempos se tornaram marinheiros tão fortes é devido à sua infeliz situação agrícola. A falta de colheitas causou grande angústia. Neste jogo, você irá invadir e explorar novos territórios. Você também experimentará suas atividades do dia-a-dia: coleta de mercadorias para alcançar uma posição financeiramente segura na sociedade. No final, o jogador cujas posses tiverem o maior valor será declarado vencedor. -- descrição da jogabilidade da análise do @StoryBoardGamer:  A Feast for Odin é um jogo baseado em pontos, com uma infinidade de caminhos para a vitória, com uma gama de risco equilibrado contra recompensa. Uma parte significativa disso é o seu salão central, que tem impressionantes -86 pontos de quadrados e uma grande parte do seu jogo está tentando encobri-los com várias peças. Da mesma forma, salões longos e colônias de ilhas também podem oferecer grandes recompensas, mas terão penalidades próprias. Cada ano segue um padrão familiar de preparação, colocação de trabalhadores e, em seguida, atender aos requisitos de sua festa. A fase principal de cada ano é um caso de colocação de trabalhadores. Você começa com uma seleção de Vikings e um grande tabuleiro de ação com 61 opções diferentes para escolher. Cada um deles será organizado da esquerda para a direita em uma das quatro colunas. Cada coluna requer um Viking adicional para ser ativado, mas eles são proporcionalmente mais poderosos. No final de cada rodada, você precisará encher uma mesa de banquete com comida, alternando entre plantas e vegetais. Você também terá a chance de colocar os valiosos azulejos verdes e azuis em seu salão principal. A configuração desses blocos deve seguir certos requisitos, mas seu objetivo principal é encobrir uma linha de ícones de moedas para aumentar sua renda, enquanto circunda certos ícones impressos para gerá-los. Você construirá seu motor ao longo do tempo, seguindo um padrão alternado de expansão externa e caçando contra o desenvolvimento e o cultivo. Tudo se resume a quanto você está disposto a assumir a qualquer momento e a quais riscos você está disposto a se colocar em troca de suas recompensas.
"
Ghost Stories,"Ghost Stories é um jogo cooperativo no qual os jogadores protegem a vila das encarnações do senhor do inferno   Wu-Feng   e suas legiões de fantasmas antes de assombrar uma cidade e recuperar as cinzas que lhe permitirão voltar à vida. Cada jogador representa um monge taoísta trabalhando em conjunto com os outros para combater ondas de fantasmas. Os jogadores, usando o trabalho em equipe, terão que exorcizar os fantasmas que aparecem no decorrer do jogo. No início de seu turno, um jogador coloca um fantasma em jogo e o coloca em um local livre, e mais de um pode entrar ao mesmo tempo. Todos os fantasmas têm habilidades próprias   alguns afetando os taoístas e seus poderes, alguns fazendo com que o jogador ativo jogue o dado de maldição por um efeito aleatório, e outros assombrando as peças do aldeão e bloqueando a ação especial daquela peça. Por sua vez, um taoísta pode se mover em uma peça para exorcizar fantasmas adjacentes ou se beneficiar do aldeão que mora na peça, desde que não seja assombrado. Cada peça da aldeia permite que os jogadores se beneficiem de um bônus diferente. Com o cemitério, por exemplo, os taoístas podem trazer um taoísta morto de volta à vida, enquanto o herborista permite recuperar fichas de Tao gastas, etc. Para exorcizar um fantasma, o taoísta lança três dados Tao com cores diferentes: vermelho, azul, verde, amarelo, preto e branco. Se o resultado do teste corresponder à(s) cor(es) do fantasma ou encarnação de Wu-Feng, o exorcismo é bem-sucedido. O resultado branco é uma cor selvagem que pode ser usada como qualquer cor. Por exemplo, para exorcizar um fantasma verde com resistência 3, você precisa rolar três verdes, três brancos ou uma combinação de ambos. Se suas jogadas de dados falharem, você também pode usar fichas de Tao que correspondam à cor além da sua jogada. Você pode optar por usá-los após sua rolagem. Os taoístas ganham essas fichas usando certas peças de aldeia ou exorcizando certos fantasmas. Um dos taoístas tem um poder que lhe permite receber tal ficha uma vez por turno. Para vencer, os jogadores devem derrotar a encarnação de Wu-Feng, um chefe que chega ao final do jogo. Existem também níveis de dificuldade mais difíceis que adicionam mais encarnações de Wu-Feng, nos quais, para vencer, você deve derrotar todos eles. Há muitas outras maneiras de perder, no entanto. Os jogadores perdem se três das peças da aldeia estiverem assombradas, se a pilha de compras for esvaziada enquanto a encarnação de Wu-Feng ainda estiver em jogo, ou se todos os sacerdotes estiverem mortos."
Gaia Project,"Gaia Project é um novo jogo na linha de Terra Mystica. Como no Terra Mystica original, catorze facções diferentes vivem em sete tipos diferentes de planetas, e cada facção está ligada a seus próprios planetas de origem, então para desenvolver e crescer, eles devem terraformar planetas vizinhos em seus ambientes de origem em competição com os outros grupos. . Além disso, os planetas Gaia podem ser usados ​​por todas as facções para colonização, e os planetas transdimensionais podem ser transformados em planetas Gaia. Todas as facções podem melhorar suas habilidades em seis áreas diferentes de desenvolvimento   Terraforming, Navegação, Inteligência Artificial, Gaiaforming, Economia, Pesquisa   levando a tecnologia avançada e bônus especiais. Para fazer tudo isso, cada grupo tem habilidades e habilidades especiais. A área de jogo é composta por dez setores, permitindo uma configuração variável e, portanto, um valor de replay ainda maior do que seu antecessor Terra Mystica. Um jogo para dois jogadores é hospedado em sete setores.  descrição do editor"
The 7th Continent,"É o início do século 20. Você decidiu navegar de volta ao sétimo continente recém-descoberto para tentar acabar com a terrível maldição que o atingiu desde seu retorno da expedição anterior. No 7º Continente, uma aventura solo ou cooperativa  escolha sua própria aventura  jogo de tabuleiro de exploração, você escolhe um personagem e começa sua aventura sozinho ou com uma equipe de outros exploradores. Inspirado na série de livros Fighting Fantasy, você descobrirá a extensão desta nova terra selvagem através de uma variedade de terrenos e cartas de eventos. Em uma terra repleta de perigos e maravilhas, você tem que usar cada grama de inteligência e astúcia para sobreviver, criando ferramentas, armas e abrigo para garantir sua sobrevivência. Ao contrário da maioria dos jogos de tabuleiro, você levará muitas, MUITAS horas explorando e pesquisando o sétimo continente até descobrir como remover a(s) maldição(ões)... ou morrer tentando. O 7º Continente possui um sistema de economia fácil para que você possa parar de jogar a qualquer momento e retomar sua aventura mais tarde, como em um videogame!"
Nemesis,"Jogar Nemesis levará você ao coração do terror de sobrevivência de ficção científica em todo o seu terror. Um soldado dispara cegamente por um corredor, tentando impedir o avanço alienígena. Um cientista corre para encontrar uma solução em seu laboratório improvisado. Um traidor rouba a última cápsula de fuga no último momento. Os intrusos que você encontra no navio não estão apenas reagindo ao barulho que você faz, mas também evoluem com o passar do tempo. Quanto mais tempo o jogo leva, mais fortes eles se tornam. Durante o jogo, você controla um dos membros da tripulação com um conjunto único de habilidades, baralho de cartas pessoal e equipamento inicial individual. Esses heróis cobrem todas as suas necessidades básicas de terror SF. Por exemplo, o cientista é ótimo com computadores e pesquisa, mas terá dificuldade em combate. O soldado, por outro lado... Nemesis é um jogo semi-cooperativo no qual você e seus tripulantes devem sobreviver em um navio infestado de organismos hostis. Para ganhar o jogo, você deve completar um dos dois objetivos que lhe foram atribuídos no início do jogo e voltar à Terra inteiro. Você encontrará muitos obstáculos em seu caminho: enxames de intrusos (o nome dado aos organismos alienígenas pela IA da nave), as más condições físicas da nave, as agendas de seus colegas jogadores e, às vezes, apenas um destino cruel. A jogabilidade de Nemesis foi projetada para ser cheia de momentos climáticos que, esperançosamente, você achará recompensador mesmo quando seus melhores planos forem arruinados e seu personagem encontrar um destino terrível."
Lost Ruins of Arnak,"Em uma ilha desabitada em mares desconhecidos, os exploradores encontraram vestígios de uma grande civilização. Agora você liderará uma expedição para explorar a ilha, encontrar artefatos perdidos e enfrentar guardiões temíveis, tudo em uma missão para aprender os segredos da ilha. Lost Ruins of Arnak combina construção de baralho e colocação de trabalhadores em um jogo de exploração, gerenciamento de recursos e descoberta. Além dos efeitos tradicionais de construção de baralho, as cartas também podem ser usadas para colocar trabalhadores, e novas ações de trabalhadores ficam disponíveis à medida que os jogadores exploram a ilha. Algumas dessas ações exigem recursos em vez de trabalhadores, portanto, a construção de uma base sólida de recursos será essencial. Você está limitado a apenas uma ação por turno, então faça sua escolha com cuidado... qual ação irá beneficiá-lo mais agora? E o que você pode se dar ao luxo de fazer mais tarde... supondo que outra pessoa não tome a ação primeiro!? Os baralhos são pequenos e a aleatoriedade no jogo é fortemente mitigada pela riqueza de decisões táticas oferecidas no tabuleiro do jogo. Com uma variedade de ações de trabalhadores, artefatos e cartas de equipamentos, a configuração de cada jogo será única, incentivando os jogadores a explorar novas estratégias para enfrentar o desafio. Descubra as Ruínas Perdidas de Arnak!  descrição do editor"
Gloomhaven: Jaws of the Lion,"Gloomhaven: Jaws of the Lion é um jogo autônomo que ocorre antes dos eventos de Gloomhaven. O jogo inclui quatro novos personagens   Valrath Red Guard (tanque, controle de multidões), Inox Hatchet (dano à distância), Human Voidwarden (suporte, controle da mente) e Quatryl Demolitionist (dano corpo a corpo, manipulação de obstáculos)   que também pode ser usado no jogo original Gloomhaven. O jogo também inclui 16 tipos de monstros (incluindo sete novos monstros padrão e três novos chefes) e uma nova campanha com 25 cenários que convida os heróis a investigar um caso de desaparecimentos misteriosos dentro da cidade. É o trabalho de Vermlings, ou algo muito mais sinistro está acontecendo? Gloomhaven: Jaws of the Lion é destinado a um público mais casual para levar as pessoas ao jogo mais rapidamente. Todos os mapas de papelão difíceis de organizar foram removidos e, em vez disso, os jogadores jogarão no próprio livro de cenários, que apresenta uma nova arte exclusiva para cada cenário. A última barreira à entrada   ou seja, aprendendo o jogo   também foi reduzido por meio de um conjunto de regras simplificado e um tutorial de cinco cenários que facilitará a experiência de novos jogadores."
Teotihuacan: City of Gods,"Viaje no tempo para a maior cidade da Mesoamérica. Testemunhe a glória e o crepúsculo da poderosa civilização pré-colombiana. Crie estratégias, acumule riqueza, ganhe o favor dos deuses e torne-se o construtor da magnífica Pirâmide do Sol. Em Teotihuacan: City of Gods, cada jogador comanda uma força de dados de trabalhadores, que crescem em força a cada movimento. No seu turno, você move um trabalhador em torno de um tabuleiro modular, sempre escolhendo uma das duas áreas da ficha de local em que você pousa: uma oferecendo uma ação (e um aprimoramento de trabalhador), a outra fornecendo um bônus poderoso (mas sem um upgrade). Enquanto gerenciam sua força de trabalho e recursos, os jogadores desenvolvem novas tecnologias, sobem os degraus dos três grandes templos, constroem casas para os habitantes da cidade e erguem a lendária e de tirar o fôlego Pirâmide do Sol no centro da cidade. Cada jogo é jogado em três eras. À medida que o alvorecer dos astecas se aproxima, os esforços dos jogadores (e sua capacidade de alimentar sua força de trabalho) são avaliados três vezes no total. O jogador com mais fama é o vencedor."
Dune: Imperium,"Alguns links importantes: O FAQ Oficial, o FAQ não oficial e um Automa (solo e 2p) Visão geral Dune: Imperium é um jogo que encontra inspiração em elementos e personagens do legado Dune, tanto o novo filme da Legendary Pictures quanto o literário seminal série de Frank Herbert, Brian Herbert e Kevin J. Anderson. Como líder de uma das Grandes Casas do Landsraad, levante sua bandeira e organize suas forças e espiões. A guerra está chegando e no centro do conflito está Arrakis   Duna, o planeta deserto. Dune: Imperium usa a construção de decks para adicionar um ângulo de informações ocultas ao posicionamento tradicional dos trabalhadores. Você começa com uma carta de líder única, além de um baralho idêntico ao de seus oponentes. À medida que você adquire cartas e constrói seu baralho, suas escolhas definirão seus pontos fortes e fracos. As cartas permitem que você envie seus Agentes para determinados espaços no tabuleiro, então a evolução do seu baralho afeta sua estratégia. Você pode se tornar mais poderoso militarmente, capaz de mobilizar mais tropas do que seus oponentes. Ou você pode adquirir cartas que lhe dão uma vantagem com as quatro facções políticas representadas no jogo: o Imperador, a Guilda Espacial, a Bene Gesserit e os Fremen. Ao contrário de muitos jogos de construção de baralho, você não joga sua mão inteira em um turno. Em vez disso, você compra uma mão de cartas no início de cada rodada e alterna com outros jogadores, realizando um turno de Agente por vez (jogando uma carta para enviar um de seus Agentes ao tabuleiro de jogo). Quando for sua vez e você não tiver mais agentes para colocar, você fará um turno de Revelação, revelando o restante de suas cartas, que fornecerão Persuasão e Espadas. A persuasão é usada para adquirir mais cartas, e as Espadas ajudam suas tropas a lutar pelas recompensas da rodada atual, conforme mostrado na carta de Conflito revelada. Derrote seus rivais em combate, navegue astutamente pelas facções políticas e adquira cartas preciosas. O tempero deve fluir para levar sua casa à vitória!"
Tapestry,"Tapestry é um jogo de duas horas para 1-5 jogadores desenhado por Jamey Stegmaier. Crie a civilização com a história mais célebre, começando no início da humanidade e chegando ao futuro. Os caminhos que você escolher variam muito de eventos ou pessoas do mundo real   sua civilização é única! Em Tapestry, você começa do nada e avança em qualquer uma das quatro faixas de avanço (ciência, tecnologia, exploração e militar) para obter benefícios progressivamente melhores. Você pode se concentrar em uma faixa específica ou adotar uma abordagem mais equilibrada. Você também melhorará sua renda, construirá sua capital, alavancará suas habilidades assimétricas, ganhará pontos de vitória e ganhará cartas de tapeçaria que contarão a história de sua civilização.  descrição do editor"
Marvel Champions: The Card Game," Com grandes poderes, também devem vir grandes responsabilidades    Stan Lee, Amazing Fantasy #15 Iron Man e Black Panther se unem para impedir Rhino de atacar as ruas de Nova York. O Capitão Marvel e o Homem-Aranha lutam contra Ultron enquanto ele ameaça a aniquilação global. Você tem o que é preciso para se juntar às fileiras desses heróis lendários e se tornar um campeão? Entre no Universo Marvel com Marvel Champions: The Card Game, um jogo cooperativo de cartas vivas para um a quatro jogadores! Marvel Champions: The Card Game convida os jogadores a encarnar heróis icônicos do Universo Marvel enquanto lutam para impedir que vilões infames executem seus esquemas desonestos. Como um jogo de cartas vivo, Marvel Champions é suportado com lançamentos regulares de novos produtos, incluindo novos heróis e cenários.  descrição do editor"
Neuroshima Hex! 3.0,"Neuroshima Hex! é um jogo de estratégia ambientado no mundo pós-apocalíptico de Neuroshima, um RPG polonês. Cada jogador lidera um dos quatro exércitos: Borgo, Hegemonia (Hegemony), Moloch e Posterunek (Outpost). Cada baralho de exército consiste em 34 peças: soldados, peças de apoio e ações especiais. Você vence quando todos os quartéis-generais inimigos são destruídos ou quando seu quartel-general é o menos danificado no final do jogo. A segunda edição de Neuroshima Hex!, lançada na Spiel 2007, tinha gráficos atualizados e um quadro novo e maior; um pacote de expansão especial vendido ao mesmo tempo incluiu o Neuroshima Hex! Doomsday Machine 1.0, um quinto exército que poderia ser usado contra qualquer um dos outros. A primeira edição francesa de Neuroshima Hex!, lançada em 2008, incluiu mais quatro peças Mercenary. A primeira edição em inglês da Z-Man Games nesse mesmo ano inclui as peças Mercenary e a peça Mad Bomber. Neuroshima Hex! 3.0, lançado em 2013 pela Z-Man Games, inclui correções de regras, o exército Doomsday Machine (para cinco exércitos no jogo base NH), uma variante solo com 55 cartas de quebra-cabeça que apresentam situações desafiadoras e novas variantes para três jogadores : Mata-mata; Mata-mata com pontuação; um jogador contra uma equipe; e uma partida de equipe (com um jogador jogando dois exércitos). O jogo também é expandido pelo Unofficial Neuroshima Hex! expansões, disponíveis aqui no BGG. Nota: Todos os exércitos em todas as versões ao longo dos anos são funcionalmente compatíveis! As únicas diferenças entre exércitos de, por exemplo, 3.0 e 2.5 (ou qualquer outro) são arte   design gráfico. Nota: Não há bot/AI/sistema de paciência para competir. As únicas opções para  solo  jogar estão sozinhos em várias facções ou resolvendo quebra-cabeças (como problemas de xeque-mate de xadrez) disponíveis em algumas edições e expansões."
Underwater Cities,"Em Underwater Cities, que leva cerca de 30-45 minutos por jogador, os jogadores representam os cérebros mais poderosos do mundo, cérebros nomeados devido à superpopulação da Terra para estabelecer as melhores e mais habitáveis ​​áreas subaquáticas possíveis. O princípio principal do jogo é o posicionamento das cartas. Três cartões coloridos são colocados ao longo da borda da placa principal em slots 3 x 5, que também são coloridos. Idealmente, os jogadores podem colocar cartões em slots da mesma cor. Então eles podem realizar ações e vantagens: a ação descrita no slot na placa principal e também a vantagem do cartão. Ações e vantagens podem permitir aos jogadores a ingestão de matérias-primas; construir e atualizar cúpulas urbanas, túneis e edifícios de produção, como fazendas, dispositivos de dessalinização e laboratórios em sua área subaquática pessoal; mover seu marcador na trilha de iniciativa (o que é importante para a ordem do jogador no próximo turno); para ativar as ""cartas A"" do jogador; e colecionar cartas, tanto especiais quanto básicas, que permitem melhores possibilidades de decisão durante o jogo. Todos os quase 220 cartões   seja especial ou básico   são divididos em cinco tipos de acordo com a forma e o tempo de uso. As áreas subaquáticas são planejadas para serem duplas, dando aos jogadores muitas oportunidades de alcançar VPs e finalmente vencer."
Maracaibo,"Maracaibo, o novo jogo de estratégia para 1-4 jogadores de Alexander Pfister, se passa no Caribe durante o século XVII. Os jogadores tentam aumentar sua influência em três nações em quatro rodadas com um tempo de jogo de 40 minutos por jogador. Os jogadores navegam em um percurso redondo pelo Caribe, por exemplo, você tem peças de cidade onde você pode realizar várias&nbsp;ações ou entregar mercadorias. Uma característica especial é um modo de missão implementado em mais e várias peças, que conta ao jogador, que o persegue, uma pequena história. Como jogador, você se move com seu navio pelo curso, gerenciando-o usando cartas como em outros jogos de Alexander Pfister.  NOTA: A versão em espanhol de Maracaibo contém a mini-expansão La Armada embalada dentro da caixa do jogo base."
Horrified,"As apostas foram aumentadas. Imagine viver em um lugar tão miserável que não seja atormentado por um, dois ou até três monstros   mas sete dos demônios mais horripilantes! Neste jogo, você ficará cara a cara com todos eles enquanto trabalham juntos para livrar a cidade das criaturas maníacas ou incompreendidas antes que seja tarde demais. Horrified inclui miniaturas esculpidas de alta qualidade (Frankenstein, The Bride of Frankenstein, The Wolf Man, Dracula, The Mummy, The Invisible Man, Creature from the Black Lagoon). Sua jogabilidade cooperativa inovadora e fácil de aprender faz com que os jogadores trabalhem juntos contra os monstros com diferentes níveis de dificuldade. Assim como cada monstro é único, eles exigem estratégias e táticas diferentes para serem derrotados.  descrição do editor"
Burgle Bros.,"Burgle Bros. é um jogo cooperativo para 1-4 jogadores. Os jogadores são membros únicos de uma equipe que tenta roubar um prédio altamente seguro   sem ser pego. O prédio tem três andares (telhas 4x4), cada um com seu próprio cofre para rachar. Os jogadores começam no primeiro andar e precisam escapar para o helicóptero esperando no telhado. Cada jogador tem três fichas furtivas. Sempre que estiverem no mesmo ladrilho com um guarda, eles perdem um. Se algum jogador for pego sem uma ficha de furtividade, o jogo acaba. Se os jogadores puderem abrir todos os três cofres e escapar pelas escadas até o telhado, eles vencem."
Ubongo,"Em Ubongo, os jogadores competem para resolver quebra-cabeças individuais o mais rápido que puderem para obter primeiro as gemas disponíveis. Edição original: O tabuleiro do jogo consiste em seis fileiras, com doze gemas (de várias cores) colocadas nessas fileiras. No início do jogo, cada jogador coloca seu peão na frente de uma dessas linhas. Cada jogador também recebe doze poliminós   ou seja, peças compostas por 2-5 quadrados em alguma configuração; os jogadores usam essas peças a cada rodada para tentar recriar formas. No início de uma rodada, cada jogador recebe uma carta de quebra-cabeça que representa uma forma criada por um certo número de quadrados; um lado desta carta mostra seis linhas de 3 peças, o outro lado mostra seis linhas de 4 peças, para um quebra-cabeça mais difícil. Quando todos estiverem prontos, alguém rola um dado para determinar qual fileira de peças cada jogador pode usar para recriar a forma em sua carta individual. A corrida é cronometrada por um cronômetro de areia, e o resultado desta corrida determina a ação no tabuleiro de jogo principal. Quem primeiro resolver seu quebra-cabeça a tempo consegue mover seu peão até três linhas para a esquerda ou para a direita, com o segundo jogador a terminar de mover duas linhas e o terceiro jogador apenas uma linha. Os jogadores então coletam duas gemas da frente da linha onde seu peão está localizado, o que significa que quanto mais linhas você puder mover, mais controle você terá sobre quais gemas coloridas você pode coletar. Depois de coletar as gemas, cada jogador recebe uma nova carta de quebra-cabeça e uma nova rodada começa. Após nove rodadas, o jogo termina e quem tiver coletado mais gemas em uma única cor vence! Se os jogadores empatarem, eles comparam quem tem mais gemas em uma segunda cor e assim por diante. Edição de 2015: A parte do quebra-cabeça do jogo continua a mesma, mas a trilha de pontuação e o sistema foram bastante alterados, para serem os mesmos do Ubongo Extreme. Não há mais peões, mas em vez disso, o vencedor recebe uma gema de 3 pontos mais uma gema aleatória, o segundo colocado recebe uma gema de 1 ponto mais uma gema aleatória, e os outros que terminam dentro do tempo recebem apenas uma gema aleatória. Quem marcar mais pontos de gema após nove rodadas vence o jogo."
